first_time_homebuyer_flag,borrowers_num,orig_UPB,orig_interest_rate,program_ind,zero_balance_effective_date,loan_purpose,LTV,units_numb,id_loan,maturity_date,occupancy_status,period,DTI_ratio,orig_loan_term,channel,Unnamed: 0,first_payment_date,cens,CLTV,MI_%,property_state,zero_balance_code,postal_code,MI_cancel_flag,int_only_flag,PPM_flag,property_type,property_val_method,time,amortization_type,service_name,seller_name
N,1,40000,6.875,9,,C,50,1,F99Q10002380,202902,P,2017-12-01,36,360,R,1960,199903,False,50,0,IL,-1.0,60600,9,N,N,SF,9,228,FRM,Other servicers,"NORWEST MORTGAGE, INC."
N,2,66000,6.875,9,,N,65,1,F99Q10002428,202902,P,2017-12-01,24,360,R,1983,199903,False,65,0,WV,-1.0,26000,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,1,52000,6.875,9,,C,75,1,F99Q10002438,202902,P,2017-12-01,29,360,R,1991,199903,False,75,0,KY,-1.0,42000,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,50000,6.875,9,,P,69,1,F99Q10002585,202902,S,2017-12-01,9,360,T,2068,199903,False,69,0,MD,-1.0,21800,9,N,N,CO,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,1,67000,6.875,9,,C,63,1,F99Q10002609,202902,P,2017-12-01,39,360,R,2083,199903,False,63,0,GA,-1.0,30000,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,52000,7.125,9,,N,64,1,F99Q10002694,202902,I,2017-12-01,7,360,R,2121,199903,False,64,0,CA,-1.0,93200,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,1,42000,7.125,9,,N,74,1,F99Q10002731,202901,P,2017-12-01,16,360,R,2143,199902,False,74,0,MO,-1.0,65200,9,N,N,SF,9,229,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,1,33000,7.125,9,,N,37,1,F99Q10002756,202902,P,2017-12-01,8,360,R,2155,199903,False,37,0,IN,-1.0,46400,9,N,N,SF,9,228,FRM,Other servicers,"NORWEST MORTGAGE, INC."
N,2,135000,6.875,9,201712.0,N,87,1,F99Q10003018,201902,P,2017-12-01,18,240,R,2316,199903,True,87,12,NM,1.0,87400,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,85000,6.875,9,,C,72,1,F99Q10003557,202902,P,2017-12-01,37,360,R,2461,199903,False,72,0,OH,-1.0,43300,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
